2026-01-22 23:06:30,820 - [INFO] - [DATA] Loaded 17 items.
2026-01-22 23:06:30,820 - [INFO] - [DATA] Loaded 110 tiles.
2026-01-22 23:06:30,820 - [INFO] - [DATA] Loaded 5 roles.
2026-01-22 23:06:31,093 - [INFO] - [SYSTEM] Game Engine Initializing...
2026-01-22 23:06:31,130 - [INFO] - [SYSTEM] Engine Loop Started
2026-01-22 23:06:38,968 - [INFO] - [PLAY] Entering PlayState...
2026-01-22 23:06:44,043 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (72, 80) | Reason: Go Home | CurrPos: (50, 49)
2026-01-22 23:06:44,126 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (87, 57) | Reason: Go Home | CurrPos: (23, 41)
2026-01-22 23:06:44,189 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (18, 90) | Reason: Go Home | CurrPos: (48, 59)
2026-01-22 23:06:44,275 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (72, 73) | Reason: Go Home | CurrPos: (48, 59)
2026-01-22 23:06:44,275 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (46, 97) | Reason: Go Home | CurrPos: (47, 77)
2026-01-22 23:06:44,289 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (91, 42) | Reason: Go Home | CurrPos: (47, 77)
2026-01-22 23:06:44,294 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (71, 69) | Reason: Go Home | CurrPos: (55, 51)
2026-01-22 23:06:44,341 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (95, 45) | Reason: Go Home | CurrPos: (50, 51)
2026-01-22 23:06:44,396 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (80, 17) | Reason: Go Home | CurrPos: (47, 78)
2026-01-22 23:06:44,402 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (88, 57) | Reason: Go Home | CurrPos: (23, 43)
2026-01-22 23:06:44,402 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (71, 68) | Reason: Go Home | CurrPos: (55, 51)
2026-01-22 23:06:44,425 - [DEBUG] - [AI_MOVE_Bot 7] Set Destination: (3, 43) | Reason: Go Home | CurrPos: (39, 54)
2026-01-22 23:06:44,496 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (73, 66) | Reason: Go Home | CurrPos: (48, 61)
2026-01-22 23:06:44,861 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (4, 43) | Reason: Go Home | CurrPos: (23, 46)
2026-01-22 23:06:44,923 - [DEBUG] - [AI_MOVE_Bot 7] Set Destination: (4, 43) | Reason: Go Home | CurrPos: (37, 52)
2026-01-22 23:06:45,057 - [DEBUG] - [AI_MOVE_Bot 7] Set Destination: (26, 56) | Reason: Go Home | CurrPos: (37, 52)
2026-01-22 23:06:45,087 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (4, 42) | Reason: Go Home | CurrPos: (22, 46)
2026-01-22 23:06:45,092 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (73, 67) | Reason: Go Home | CurrPos: (59, 52)
2026-01-22 23:06:45,185 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (73, 67) | Reason: Go Home | CurrPos: (48, 66)
2026-01-22 23:06:45,315 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (42, 34) | Reason: Go Home | CurrPos: (21, 45)
2026-01-22 23:06:45,429 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (27, 25) | Reason: Go Home | CurrPos: (47, 84)
2026-01-22 23:06:45,490 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (95, 42) | Reason: Go Home | CurrPos: (21, 44)
2026-01-22 23:06:45,607 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (66, 56) | Reason: Go Home | CurrPos: (48, 67)
2026-01-22 23:06:45,938 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (28, 25) | Reason: Go Home | CurrPos: (47, 81)
2026-01-22 23:06:46,178 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (74, 67) | Reason: Go Home | CurrPos: (66, 52)
2026-01-22 23:06:46,196 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (73, 68) | Reason: Go Home | CurrPos: (66, 52)
2026-01-22 23:06:46,311 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (72, 66) | Reason: Go Home | CurrPos: (55, 66)
2026-01-22 23:06:46,331 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (83, 42) | Reason: Go Home | CurrPos: (67, 52)
2026-01-22 23:06:46,513 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (73, 67) | Reason: Go Home | CurrPos: (56, 66)
2026-01-22 23:06:46,524 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (95, 41) | Reason: Go Home | CurrPos: (24, 47)
2026-01-22 23:06:46,575 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (95, 46) | Reason: Go Home | CurrPos: (60, 48)
2026-01-22 23:06:46,592 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (95, 45) | Reason: Go Home | CurrPos: (60, 48)
2026-01-22 23:06:46,690 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (95, 42) | Reason: Go Home | CurrPos: (25, 47)
2026-01-22 23:06:46,690 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (89, 61) | Reason: Go Home | CurrPos: (69, 52)
2026-01-22 23:06:46,837 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (25, 45) | Reason: Go Home | CurrPos: (58, 66)
2026-01-22 23:06:46,986 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (65, 56) | Reason: Go Home | CurrPos: (52, 63)
2026-01-22 23:06:46,988 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (28, 26) | Reason: Go Home | CurrPos: (47, 75)
2026-01-22 23:06:46,992 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (35, 53) | Reason: Go Home | CurrPos: (27, 47)
2026-01-22 23:06:47,273 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (67, 55) | Reason: Go Home | CurrPos: (53, 63)
2026-01-22 23:06:47,295 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (28, 25) | Reason: Go Home | CurrPos: (48, 73)
2026-01-22 23:06:47,305 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (55, 22) | Reason: Go Home | CurrPos: (29, 47)
2026-01-22 23:06:47,437 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (25, 44) | Reason: Go Home | CurrPos: (54, 66)
2026-01-22 23:06:47,542 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (25, 45) | Reason: Go Home | CurrPos: (53, 66)
2026-01-22 23:06:47,544 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (90, 33) | Reason: Go Home | CurrPos: (55, 63)
2026-01-22 23:06:47,595 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (27, 60) | Reason: Go Home | CurrPos: (67, 48)
2026-01-22 23:06:47,635 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (33, 83) | Reason: Go Home | CurrPos: (48, 71)
2026-01-22 23:06:47,755 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (34, 83) | Reason: Go Home | CurrPos: (48, 71)
2026-01-22 23:06:47,768 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (89, 62) | Reason: Go Home | CurrPos: (74, 54)
2026-01-22 23:06:47,844 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (2, 13) | Reason: Go Home | CurrPos: (48, 72)
2026-01-22 23:06:47,844 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (54, 22) | Reason: Go Home | CurrPos: (30, 44)
2026-01-22 23:06:47,951 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (74, 9) | Reason: Go Home | CurrPos: (48, 73)
2026-01-22 23:06:48,112 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (46, 81) | Reason: Go Home | CurrPos: (50, 66)
2026-01-22 23:06:48,115 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (90, 32) | Reason: Go Home | CurrPos: (48, 74)
2026-01-22 23:06:48,116 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (55, 22) | Reason: Go Home | CurrPos: (32, 44)
2026-01-22 23:06:48,122 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (89, 61) | Reason: Go Home | CurrPos: (74, 56)
2026-01-22 23:06:48,132 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (5, 90) | Reason: Go Home | CurrPos: (48, 74)
2026-01-22 23:06:48,267 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (5, 69) | Reason: Go Home | CurrPos: (33, 44)
2026-01-22 23:06:48,368 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (45, 81) | Reason: Go Home | CurrPos: (48, 66)
2026-01-22 23:06:48,400 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (44, 62) | Reason: Go Home | CurrPos: (34, 43)
2026-01-22 23:06:48,637 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (91, 42) | Reason: Go Home | CurrPos: (48, 67)
2026-01-22 23:06:49,000 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (96, 55) | Reason: Go Home | CurrPos: (43, 75)
2026-01-22 23:06:49,165 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (95, 45) | Reason: Go Home | CurrPos: (75, 62)
2026-01-22 23:06:49,426 - [DEBUG] - [AI_MOVE_Bot 11] Set Destination: (67, 29) | Reason: Random Move | CurrPos: (12, 7)
2026-01-22 23:06:49,599 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (96, 54) | Reason: Go Home | CurrPos: (46, 75)
2026-01-22 23:06:49,702 - [DEBUG] - [AI_MOVE_Bot 10] Set Destination: (16, 33) | Reason: Random Move | CurrPos: (73, 77)
2026-01-22 23:06:49,720 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (93, 9) | Reason: Random Move | CurrPos: (40, 81)
2026-01-22 23:06:49,725 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (27, 59) | Reason: Go Home | CurrPos: (54, 48)
2026-01-22 23:06:49,780 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (96, 55) | Reason: Go Home | CurrPos: (48, 75)
2026-01-22 23:06:49,866 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (91, 43) | Reason: Go Home | CurrPos: (48, 61)
2026-01-22 23:06:49,988 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (91, 42) | Reason: Go Home | CurrPos: (48, 60)
2026-01-22 23:06:50,004 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (91, 39) | Reason: Go Home | CurrPos: (48, 73)
2026-01-22 23:06:50,005 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (95, 46) | Reason: Go Home | CurrPos: (75, 57)
2026-01-22 23:06:50,109 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (5, 39) | Reason: Go Home | CurrPos: (48, 59)
2026-01-22 23:06:50,124 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (46, 96) | Reason: Go Home | CurrPos: (48, 73)
2026-01-22 23:06:50,352 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (95, 45) | Reason: Go Home | CurrPos: (75, 55)
2026-01-22 23:06:50,422 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (9, 60) | Reason: Go Home | CurrPos: (48, 57)
2026-01-22 23:06:50,503 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (95, 42) | Reason: Go Home | CurrPos: (75, 54)
2026-01-22 23:06:50,535 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (27, 60) | Reason: Go Home | CurrPos: (49, 48)
2026-01-22 23:06:50,576 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (57, 96) | Reason: Go Home | CurrPos: (75, 54)
2026-01-22 23:06:50,627 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (27, 61) | Reason: Go Home | CurrPos: (48, 48)
2026-01-22 23:06:50,664 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (8, 60) | Reason: Go Home | CurrPos: (46, 57)
2026-01-22 23:06:50,718 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (28, 59) | Reason: Go Home | CurrPos: (48, 48)
